Group,Sample,Taxon,Sample_ID,Taxon_original
Dark,1,Colpomenia,Dark_1,Colpomenia
Dark,2,Dictyota,Dark_2,Dictyota
Dark,8,Galaxaura,Dark_8,Galxaura
Dark,5,Jania,Dark_5,Jania
Dark,4,Padina,Dark_4,Padina
Dark,6,Red UNK,Dark_6,Red UNK
Dark,3,Sargassum,Dark_3,Sargassum
Dark,7,Ulva,Dark_7,Ulva
Light,8,Cistosera,Light_8,Cistosera
Light,12,Colpomenia,Light_12,Colpomenia
Light,6,Cudiom,Light_6,Cudiom
Light,11,Dictyota,Light_11,Dictyota
Light,10,Galaxaura,Light_10,Galaxaura
Light,2,Halopteris,Light_2,Halopteris
Light,5,Hypnea,Light_5,Hypnea
Light,1,Jania,Light_1,Jania
Light,3,Namaliun,Light_3,Namaliun
Light,7,Padina,Light_7,Padina
Light,4,Sargassum,Light_4,Sargassum
Light,9,Ulva,Light_9,Ulva
Light,13,Ulva,Light_13,Ulva
