Date,Time,No,PAR,Sample,Sample_number,Sample_ID,Taxon,Group,ETR
16.04.26,14:50:40,1,0.0,ETR1,1,Light_1,Jania,Light,0.0
16.04.26,14:50:40,1,0.0,ETR2,2,Light_2,Halopteris,Light,0.0
16.04.26,14:50:40,1,0.0,ETR3,3,Light_3,Namaliun,Light,0.0
16.04.26,14:50:40,1,0.0,ETR4,4,Light_4,Sargassum,Light,0.0
16.04.26,14:50:40,1,0.0,ETR5,5,Light_5,Hypnea,Light,0.0
16.04.26,14:50:40,1,0.0,ETR6,6,Light_6,Cudiom,Light,0.0
16.04.26,14:50:40,1,0.0,ETR7,7,Light_7,Padina,Light,0.0
16.04.26,14:50:40,1,0.0,ETR8,8,Light_8,Cistosera,Light,0.0
16.04.26,14:50:40,1,0.0,ETR9,9,Light_9,Ulva,Light,0.0
16.04.26,14:50:40,1,0.0,ETR10,10,Light_10,Galaxaura,Light,0.0
16.04.26,14:50:40,1,0.0,ETR11,11,Light_11,Dictyota,Light,0.0
16.04.26,14:50:40,1,0.0,ETR12,12,Light_12,Colpomenia,Light,0.0
16.04.26,14:50:40,1,0.0,ETR13,13,Light_13,Ulva,Light,0.0
16.04.26,14:52:27,2,1.0,ETR1,1,Light_1,Jania,Light,0.2
16.04.26,14:52:27,2,1.0,ETR2,2,Light_2,Halopteris,Light,0.2
16.04.26,14:52:27,2,1.0,ETR3,3,Light_3,Namaliun,Light,0.1
16.04.26,14:52:27,2,1.0,ETR4,4,Light_4,Sargassum,Light,0.3
16.04.26,14:52:27,2,1.0,ETR5,5,Light_5,Hypnea,Light,0.2
16.04.26,14:52:27,2,1.0,ETR6,6,Light_6,Cudiom,Light,0.2
16.04.26,14:52:27,2,1.0,ETR7,7,Light_7,Padina,Light,0.3
16.04.26,14:52:27,2,1.0,ETR8,8,Light_8,Cistosera,Light,0.2
16.04.26,14:52:27,2,1.0,ETR9,9,Light_9,Ulva,Light,
16.04.26,14:52:27,2,1.0,ETR10,10,Light_10,Galaxaura,Light,0.2
16.04.26,14:52:27,2,1.0,ETR11,11,Light_11,Dictyota,Light,0.2
16.04.26,14:52:27,2,1.0,ETR12,12,Light_12,Colpomenia,Light,0.2
16.04.26,14:52:27,2,1.0,ETR13,13,Light_13,Ulva,Light,0.2
16.04.26,14:54:19,3,11.0,ETR1,1,Light_1,Jania,Light,1.7
16.04.26,14:54:19,3,11.0,ETR2,2,Light_2,Halopteris,Light,1.5
16.04.26,14:54:19,3,11.0,ETR3,3,Light_3,Namaliun,Light,0.6
16.04.26,14:54:19,3,11.0,ETR4,4,Light_4,Sargassum,Light,2.4
16.04.26,14:54:19,3,11.0,ETR5,5,Light_5,Hypnea,Light,2.0
16.04.26,14:54:19,3,11.0,ETR6,6,Light_6,Cudiom,Light,1.4
16.04.26,14:54:19,3,11.0,ETR7,7,Light_7,Padina,Light,2.6
16.04.26,14:54:19,3,11.0,ETR8,8,Light_8,Cistosera,Light,1.8
16.04.26,14:54:19,3,11.0,ETR9,9,Light_9,Ulva,Light,
16.04.26,14:54:19,3,11.0,ETR10,10,Light_10,Galaxaura,Light,1.6
16.04.26,14:54:19,3,11.0,ETR11,11,Light_11,Dictyota,Light,1.6
16.04.26,14:54:19,3,11.0,ETR12,12,Light_12,Colpomenia,Light,1.7
16.04.26,14:54:19,3,11.0,ETR13,13,Light_13,Ulva,Light,1.3
16.04.26,14:55:59,4,21.0,ETR1,1,Light_1,Jania,Light,3.2
16.04.26,14:55:59,4,21.0,ETR2,2,Light_2,Halopteris,Light,2.3
16.04.26,14:55:59,4,21.0,ETR3,3,Light_3,Namaliun,Light,1.2
16.04.26,14:55:59,4,21.0,ETR4,4,Light_4,Sargassum,Light,4.3
16.04.26,14:55:59,4,21.0,ETR5,5,Light_5,Hypnea,Light,3.5
16.04.26,14:55:59,4,21.0,ETR6,6,Light_6,Cudiom,Light,2.3
16.04.26,14:55:59,4,21.0,ETR7,7,Light_7,Padina,Light,4.8
16.04.26,14:55:59,4,21.0,ETR8,8,Light_8,Cistosera,Light,3.1
16.04.26,14:55:59,4,21.0,ETR9,9,Light_9,Ulva,Light,3.4
16.04.26,14:55:59,4,21.0,ETR10,10,Light_10,Galaxaura,Light,2.8
16.04.26,14:55:59,4,21.0,ETR11,11,Light_11,Dictyota,Light,3.0
16.04.26,14:55:59,4,21.0,ETR12,12,Light_12,Colpomenia,Light,2.9
16.04.26,14:55:59,4,21.0,ETR13,13,Light_13,Ulva,Light,2.2
16.04.26,14:57:41,5,36.0,ETR1,1,Light_1,Jania,Light,5.1
16.04.26,14:57:41,5,36.0,ETR2,2,Light_2,Halopteris,Light,3.3
16.04.26,14:57:41,5,36.0,ETR3,3,Light_3,Namaliun,Light,2.0
16.04.26,14:57:41,5,36.0,ETR4,4,Light_4,Sargassum,Light,6.8
16.04.26,14:57:41,5,36.0,ETR5,5,Light_5,Hypnea,Light,5.5
16.04.26,14:57:41,5,36.0,ETR6,6,Light_6,Cudiom,Light,3.7
16.04.26,14:57:41,5,36.0,ETR7,7,Light_7,Padina,Light,7.6
16.04.26,14:57:41,5,36.0,ETR8,8,Light_8,Cistosera,Light,4.6
16.04.26,14:57:41,5,36.0,ETR9,9,Light_9,Ulva,Light,5.2
16.04.26,14:57:41,5,36.0,ETR10,10,Light_10,Galaxaura,Light,3.9
16.04.26,14:57:41,5,36.0,ETR11,11,Light_11,Dictyota,Light,4.8
16.04.26,14:57:41,5,36.0,ETR12,12,Light_12,Colpomenia,Light,4.5
16.04.26,14:57:41,5,36.0,ETR13,13,Light_13,Ulva,Light,3.6
16.04.26,14:59:21,6,56.0,ETR1,1,Light_1,Jania,Light,7.7
16.04.26,14:59:21,6,56.0,ETR2,2,Light_2,Halopteris,Light,4.4
16.04.26,14:59:21,6,56.0,ETR3,3,Light_3,Namaliun,Light,2.6
16.04.26,14:59:21,6,56.0,ETR4,4,Light_4,Sargassum,Light,9.5
